Country,Code,Date,new_vaccinations_smoothed_per_million
Albania,ALB,11/01/2021,22
Albania,ALB,12/01/2021,22
Albania,ALB,13/01/2021,22
Albania,ALB,14/01/2021,23
Albania,ALB,15/01/2021,22
Albania,ALB,16/01/2021,22
Albania,ALB,17/01/2021,20
Albania,ALB,18/01/2021,19
Albania,ALB,19/01/2021,18
Albania,ALB,20/01/2021,16
Albania,ALB,21/01/2021,14
Albania,ALB,22/01/2021,12
Albania,ALB,23/01/2021,9
Albania,ALB,24/01/2021,7
Albania,ALB,25/01/2021,5
Albania,ALB,26/01/2021,3
Albania,ALB,27/01/2021,1
Albania,ALB,03/02/2021,4
Albania,ALB,04/02/2021,8
Albania,ALB,05/02/2021,12
Albania,ALB,06/02/2021,16
Albania,ALB,07/02/2021,21
Albania,ALB,08/02/2021,25
Albania,ALB,09/02/2021,28
Albania,ALB,10/02/2021,28
Albania,ALB,11/02/2021,27
Albania,ALB,12/02/2021,27
Albania,ALB,13/02/2021,26
Albania,ALB,14/02/2021,26
Albania,ALB,15/02/2021,25
Albania,ALB,16/02/2021,25
Albania,ALB,17/02/2021,25
Albania,ALB,18/02/2021,88
Albania,ALB,19/02/2021,141
Albania,ALB,20/02/2021,179
Albania,ALB,21/02/2021,218
Albania,ALB,22/02/2021,257
Albania,ALB,23/02/2021,310
Albania,ALB,24/02/2021,362
Albania,ALB,25/02/2021,352
Algeria,DZA,30/01/2021,1
Algeria,DZA,31/01/2021,43
Algeria,DZA,01/02/2021,57
Algeria,DZA,02/02/2021,64
Algeria,DZA,03/02/2021,69
Algeria,DZA,04/02/2021,71
Algeria,DZA,05/02/2021,73
Algeria,DZA,06/02/2021,85
Algeria,DZA,07/02/2021,85
Algeria,DZA,08/02/2021,85
Algeria,DZA,09/02/2021,85
Algeria,DZA,10/02/2021,85
Algeria,DZA,11/02/2021,85
Algeria,DZA,12/02/2021,85
Algeria,DZA,13/02/2021,85
Algeria,DZA,14/02/2021,85
Algeria,DZA,15/02/2021,85
Algeria,DZA,16/02/2021,85
Algeria,DZA,17/02/2021,85
Algeria,DZA,18/02/2021,85
Algeria,DZA,19/02/2021,85
Andorra,AND,26/01/2021,854
Andorra,AND,27/01/2021,854
Andorra,AND,28/01/2021,854
Andorra,AND,29/01/2021,854
Andorra,AND,30/01/2021,854
Andorra,AND,31/01/2021,854
Andorra,AND,01/02/2021,854
Andorra,AND,02/02/2021,777
Andorra,AND,03/02/2021,712
Andorra,AND,04/02/2021,647
Andorra,AND,05/02/2021,569
Andorra,AND,06/02/2021,505
Andorra,AND,07/02/2021,440
Andorra,AND,08/02/2021,362
Andorra,AND,09/02/2021,362
Andorra,AND,10/02/2021,362
Andorra,AND,11/02/2021,621
Andorra,AND,12/02/2021,880
Andorra,AND,13/02/2021,958
Andorra,AND,14/02/2021,1048
Andorra,AND,15/02/2021,1126
Andorra,AND,16/02/2021,1217
Andorra,AND,17/02/2021,1294
Andorra,AND,18/02/2021,1126
Andorra,AND,19/02/2021,958
Andorra,AND,20/02/2021,919
Andorra,AND,21/02/2021,867
Andorra,AND,22/02/2021,828
Andorra,AND,23/02/2021,777
Andorra,AND,24/02/2021,738
Anguilla,AIA,05/02/2021,9932
Anguilla,AIA,06/02/2021,9932
Anguilla,AIA,07/02/2021,9932
Anguilla,AIA,08/02/2021,9932
Anguilla,AIA,09/02/2021,9932
Anguilla,AIA,10/02/2021,9932
Anguilla,AIA,11/02/2021,9932
Anguilla,AIA,12/02/2021,9932
Anguilla,AIA,13/02/2021,9932
Anguilla,AIA,14/02/2021,22064
Argentina,ARG,30/12/2020,346
Argentina,ARG,31/12/2020,346
Argentina,ARG,01/01/2021,245
Argentina,ARG,02/01/2021,194
Argentina,ARG,03/01/2021,164
Argentina,ARG,04/01/2021,143
Argentina,ARG,05/01/2021,177
Argentina,ARG,06/01/2021,181
Argentina,ARG,07/01/2021,185
Argentina,ARG,08/01/2021,233
Argentina,ARG,09/01/2021,264
Argentina,ARG,10/01/2021,296
Argentina,ARG,11/01/2021,327
Argentina,ARG,12/01/2021,311
Argentina,ARG,13/01/2021,295
Argentina,ARG,14/01/2021,295
Argentina,ARG,15/01/2021,295
Argentina,ARG,16/01/2021,287
Argentina,ARG,17/01/2021,279
Argentina,ARG,18/01/2021,272
Argentina,ARG,19/01/2021,264
Argentina,ARG,20/01/2021,256
Argentina,ARG,21/01/2021,259
Argentina,ARG,22/01/2021,249
Argentina,ARG,23/01/2021,246
Argentina,ARG,24/01/2021,229
Argentina,ARG,25/01/2021,200
Argentina,ARG,26/01/2021,213
Argentina,ARG,27/01/2021,222
Argentina,ARG,28/01/2021,197
Argentina,ARG,29/01/2021,204
Argentina,ARG,30/01/2021,248
Argentina,ARG,31/01/2021,250
Argentina,ARG,01/02/2021,264
Argentina,ARG,02/02/2021,254
Argentina,ARG,03/02/2021,248
Argentina,ARG,04/02/2021,367
Argentina,ARG,05/02/2021,359
Argentina,ARG,06/02/2021,332
Argentina,ARG,07/02/2021,411
Argentina,ARG,08/02/2021,429
Argentina,ARG,09/02/2021,401
Argentina,ARG,10/02/2021,439
Argentina,ARG,11/02/2021,407
Argentina,ARG,12/02/2021,423
Argentina,ARG,13/02/2021,426
Argentina,ARG,14/02/2021,343
Argentina,ARG,15/02/2021,310
Argentina,ARG,16/02/2021,310
Argentina,ARG,17/02/2021,243
Argentina,ARG,18/02/2021,198
Argentina,ARG,19/02/2021,243
Argentina,ARG,20/02/2021,319
Argentina,ARG,21/02/2021,350
Argentina,ARG,22/02/2021,355
Argentina,ARG,23/02/2021,428
Argentina,ARG,24/02/2021,531
Argentina,ARG,25/02/2021,614
Australia,AUS,22/02/2021,0
Australia,AUS,23/02/2021,16
Australia,AUS,24/02/2021,39
Australia,AUS,25/02/2021,67
Austria,AUT,14/01/2021,717
Austria,AUT,15/01/2021,1026
Austria,AUT,16/01/2021,1014
Austria,AUT,17/01/2021,964
Austria,AUT,18/01/2021,1074
Austria,AUT,19/01/2021,1208
Austria,AUT,20/01/2021,1683
Austria,AUT,21/01/2021,1677
Austria,AUT,22/01/2021,1526
Austria,AUT,23/01/2021,1469
Austria,AUT,24/01/2021,1418
Austria,AUT,25/01/2021,1399
Austria,AUT,26/01/2021,1431
Austria,AUT,27/01/2021,1021
Austria,AUT,28/01/2021,718
Austria,AUT,29/01/2021,717
Austria,AUT,30/01/2021,824
Austria,AUT,31/01/2021,847
Austria,AUT,01/02/2021,803
Austria,AUT,02/02/2021,851
Austria,AUT,03/02/2021,967
Austria,AUT,04/02/2021,1015
Austria,AUT,05/02/2021,1087
Austria,AUT,06/02/2021,1014
Austria,AUT,07/02/2021,1034
Austria,AUT,08/02/2021,1117
Austria,AUT,09/02/2021,1110
Austria,AUT,10/02/2021,1224
Austria,AUT,11/02/2021,1285
Austria,AUT,12/02/2021,1396
Austria,AUT,13/02/2021,1335
Austria,AUT,14/02/2021,1334
Austria,AUT,15/02/2021,1662
Austria,AUT,16/02/2021,1695
Austria,AUT,17/02/2021,1823
Austria,AUT,18/02/2021,1950
Austria,AUT,19/02/2021,1927
Austria,AUT,20/02/2021,2057
Austria,AUT,21/02/2021,2126
Austria,AUT,22/02/2021,1846
Austria,AUT,23/02/2021,1869
Austria,AUT,24/02/2021,1771
Austria,AUT,25/02/2021,1842
Azerbaijan,AZE,18/01/2021,321
Azerbaijan,AZE,19/01/2021,321
Azerbaijan,AZE,20/01/2021,321
Azerbaijan,AZE,21/01/2021,321
Azerbaijan,AZE,22/01/2021,321
Azerbaijan,AZE,23/01/2021,321
Azerbaijan,AZE,24/01/2021,321
Azerbaijan,AZE,25/01/2021,321
Azerbaijan,AZE,26/01/2021,321
Azerbaijan,AZE,27/01/2021,321
Azerbaijan,AZE,28/01/2021,321
Azerbaijan,AZE,29/01/2021,321
Azerbaijan,AZE,30/01/2021,321
Azerbaijan,AZE,31/01/2021,321
Azerbaijan,AZE,01/02/2021,321
Azerbaijan,AZE,02/02/2021,321
Azerbaijan,AZE,03/02/2021,321
Azerbaijan,AZE,04/02/2021,321
Azerbaijan,AZE,05/02/2021,321
Azerbaijan,AZE,06/02/2021,321
Bahrain,BHR,24/12/2020,6527
Bahrain,BHR,25/12/2020,3402
Bahrain,BHR,26/12/2020,2467
Bahrain,BHR,27/12/2020,2152
Bahrain,BHR,28/12/2020,1886
Bahrain,BHR,29/12/2020,1673
Bahrain,BHR,30/12/2020,1541
Bahrain,BHR,31/12/2020,720
Bahrain,BHR,01/01/2021,739
Bahrain,BHR,02/01/2021,717
Bahrain,BHR,03/01/2021,594
Bahrain,BHR,04/01/2021,554
Bahrain,BHR,05/01/2021,659
Bahrain,BHR,06/01/2021,937
Bahrain,BHR,07/01/2021,1141
Bahrain,BHR,08/01/2021,1590
Bahrain,BHR,09/01/2021,2020
Bahrain,BHR,10/01/2021,2398
Bahrain,BHR,11/01/2021,2602
Bahrain,BHR,12/01/2021,2844
Bahrain,BHR,13/01/2021,2762
Bahrain,BHR,14/01/2021,3134
Bahrain,BHR,15/01/2021,3738
Bahrain,BHR,16/01/2021,4450
Bahrain,BHR,17/01/2021,4392
Bahrain,BHR,18/01/2021,4217
Bahrain,BHR,19/01/2021,3847
Bahrain,BHR,20/01/2021,3591
Bahrain,BHR,21/01/2021,3207
Bahrain,BHR,22/01/2021,2400
Bahrain,BHR,23/01/2021,1502
Bahrain,BHR,24/01/2021,1437
Bahrain,BHR,25/01/2021,1636
Bahrain,BHR,26/01/2021,1877
Bahrain,BHR,27/01/2021,1982
Bahrain,BHR,28/01/2021,1819
Bahrain,BHR,29/01/2021,1545
Bahrain,BHR,30/01/2021,1292
Bahrain,BHR,31/01/2021,1082
Bahrain,BHR,01/02/2021,890
Bahrain,BHR,02/02/2021,682
Bahrain,BHR,03/02/2021,618
Bahrain,BHR,04/02/2021,654
Bahrain,BHR,05/02/2021,817
Bahrain,BHR,06/02/2021,1017
Bahrain,BHR,07/02/2021,1666
Bahrain,BHR,08/02/2021,2368
Bahrain,BHR,09/02/2021,3263
Bahrain,BHR,10/02/2021,3736
Bahrain,BHR,11/02/2021,4003
Bahrain,BHR,12/02/2021,4449
Bahrain,BHR,13/02/2021,5014
Bahrain,BHR,14/02/2021,4817
Bahrain,BHR,15/02/2021,4184
Bahrain,BHR,16/02/2021,3362
Bahrain,BHR,17/02/2021,3189
Bahrain,BHR,18/02/2021,3232
Bahrain,BHR,19/02/2021,3000
Bahrain,BHR,20/02/2021,2476
Bahrain,BHR,21/02/2021,2199
Bahrain,BHR,22/02/2021,2290
Bahrain,BHR,23/02/2021,2387
Bahrain,BHR,24/02/2021,2298
Bahrain,BHR,25/02/2021,2240
Bangladesh,BGD,27/01/2021,0
Bangladesh,BGD,28/01/2021,2
Bangladesh,BGD,29/01/2021,7
Bangladesh,BGD,30/01/2021,10
Bangladesh,BGD,31/01/2021,12
Bangladesh,BGD,01/02/2021,13
Bangladesh,BGD,02/02/2021,14
Bangladesh,BGD,03/02/2021,16
Bangladesh,BGD,04/02/2021,19
Bangladesh,BGD,05/02/2021,19
Bangladesh,BGD,06/02/2021,19
Bangladesh,BGD,07/02/2021,19
Bangladesh,BGD,08/02/2021,80
Bangladesh,BGD,09/02/2021,142
Bangladesh,BGD,10/02/2021,277
Bangladesh,BGD,11/02/2021,389
Bangladesh,BGD,12/02/2021,502
Bangladesh,BGD,13/02/2021,615
Bangladesh,BGD,14/02/2021,759
Bangladesh,BGD,15/02/2021,891
Bangladesh,BGD,16/02/2021,1024
Bangladesh,BGD,17/02/2021,1083
Bangladesh,BGD,18/02/2021,1195
Bangladesh,BGD,19/02/2021,1181
Bangladesh,BGD,20/02/2021,1168
Bangladesh,BGD,21/02/2021,1119
Bangladesh,BGD,22/02/2021,1020
Bangladesh,BGD,23/02/2021,981
Bangladesh,BGD,24/02/2021,943
Bangladesh,BGD,25/02/2021,870
Barbados,BRB,16/02/2021,7631
Barbados,BRB,17/02/2021,8045
Barbados,BRB,18/02/2021,8125
Barbados,BRB,19/02/2021,8630
Barbados,BRB,20/02/2021,7896
Barbados,BRB,21/02/2021,6991
Barbados,BRB,22/02/2021,7259
Barbados,BRB,23/02/2021,7631
Barbados,BRB,24/02/2021,8185
Belarus,BLR,29/12/2020,43
Belarus,BLR,30/12/2020,43
Belarus,BLR,31/12/2020,43
Belarus,BLR,01/01/2021,43
Belarus,BLR,02/01/2021,43
Belarus,BLR,03/01/2021,43
Belarus,BLR,04/01/2021,43
Belarus,BLR,05/01/2021,43
Belarus,BLR,06/01/2021,43
Belarus,BLR,07/01/2021,43
Belarus,BLR,08/01/2021,43
Belarus,BLR,09/01/2021,43
Belarus,BLR,10/01/2021,43
Belarus,BLR,11/01/2021,43
Belarus,BLR,12/01/2021,43
Belarus,BLR,13/01/2021,43
Belarus,BLR,14/01/2021,43
Belarus,BLR,15/01/2021,43
Belarus,BLR,16/01/2021,43
Belarus,BLR,17/01/2021,43
Belarus,BLR,18/01/2021,43
Belarus,BLR,19/01/2021,43
Belarus,BLR,20/01/2021,43
Belarus,BLR,21/01/2021,43
Belarus,BLR,22/01/2021,43
Belarus,BLR,23/01/2021,43
Belarus,BLR,24/01/2021,43
Belarus,BLR,25/01/2021,43
Belarus,BLR,26/01/2021,43
Belarus,BLR,27/01/2021,43
Belarus,BLR,28/01/2021,43
Belarus,BLR,29/01/2021,43
Belarus,BLR,30/01/2021,43
Belarus,BLR,31/01/2021,43
Belarus,BLR,01/02/2021,43
Belarus,BLR,02/02/2021,43
Belarus,BLR,03/02/2021,43
Belarus,BLR,04/02/2021,43
Belarus,BLR,05/02/2021,43
Belarus,BLR,06/02/2021,43
Belarus,BLR,07/02/2021,43
Belarus,BLR,08/02/2021,43
Belarus,BLR,09/02/2021,43
Belarus,BLR,10/02/2021,43
Belarus,BLR,11/02/2021,43
Belarus,BLR,12/02/2021,43
Belarus,BLR,13/02/2021,43
Belarus,BLR,14/02/2021,43
Belarus,BLR,15/02/2021,43
Belarus,BLR,16/02/2021,43
Belarus,BLR,17/02/2021,43
Belarus,BLR,18/02/2021,43
Belgium,BEL,29/12/2020,0
Belgium,BEL,30/12/2020,21
Belgium,BEL,31/12/2020,14
Belgium,BEL,01/01/2021,11
Belgium,BEL,02/01/2021,15
Belgium,BEL,03/01/2021,18
Belgium,BEL,04/01/2021,21
Belgium,BEL,05/01/2021,26
Belgium,BEL,06/01/2021,67
Belgium,BEL,07/01/2021,167
Belgium,BEL,08/01/2021,280
Belgium,BEL,09/01/2021,315
Belgium,BEL,10/01/2021,315
Belgium,BEL,11/01/2021,377
Belgium,BEL,12/01/2021,564
Belgium,BEL,13/01/2021,774
Belgium,BEL,14/01/2021,954
Belgium,BEL,15/01/2021,1125
Belgium,BEL,16/01/2021,1147
Belgium,BEL,17/01/2021,1183
Belgium,BEL,18/01/2021,1251
Belgium,BEL,19/01/2021,1297
Belgium,BEL,20/01/2021,1297
Belgium,BEL,21/01/2021,1384
Belgium,BEL,22/01/2021,1459
Belgium,BEL,23/01/2021,1497
Belgium,BEL,24/01/2021,1480
Belgium,BEL,25/01/2021,1482
Belgium,BEL,26/01/2021,1396
Belgium,BEL,27/01/2021,1336
Belgium,BEL,28/01/2021,1241
Belgium,BEL,29/01/2021,1127
Belgium,BEL,30/01/2021,1082
Belgium,BEL,31/01/2021,1070
Belgium,BEL,01/02/2021,1026
Belgium,BEL,02/02/2021,1157
Belgium,BEL,03/02/2021,1310
Belgium,BEL,04/02/2021,1427
Belgium,BEL,05/02/2021,1540
Belgium,BEL,06/02/2021,1562
Belgium,BEL,07/02/2021,1589
Belgium,BEL,08/02/2021,1616
